Parameter,Category,Value,Unit,Volume_WinRate,Premium_WinRate,Brand_WinRate,Balanced_WinRate,Revenue_Spread,Diversity_Score
BRAND_DECAY_RATE,Brand,0.02,%,0.0,0.0,100.0,0.0,1.028,0.000
BRAND_DECAY_RATE,Brand,0.03,%,0.0,0.0,100.0,0.0,1.028,0.000
BRAND_DECAY_RATE,Brand,0.04,%,0.0,0.0,100.0,0.0,1.028,0.000
BRAND_DECAY_RATE,Brand,0.05,%,0.0,0.0,100.0,0.0,1.028,0.000
BRAND_DECAY_RATE,Brand,0.065,%,0.0,0.0,100.0,0.0,1.028,0.000
BRAND_DECAY_RATE,Brand,0.08,%,0.0,0.0,100.0,0.0,1.028,0.000
BRAND_DECAY_RATE,Brand,0.1,%,0.0,0.0,100.0,0.0,1.028,0.000
BRAND_DECAY_RATE,Brand,0.12,%,0.0,0.0,100.0,0.0,1.028,0.000
BRAND_DECAY_RATE,Brand,0.15,%,0.0,0.0,100.0,0.0,1.028,0.000
BRAND_MAX_GROWTH,Brand,0.01,%,0.0,0.0,100.0,0.0,1.028,0.000
BRAND_MAX_GROWTH,Brand,0.015,%,0.0,0.0,100.0,0.0,1.028,0.000
BRAND_MAX_GROWTH,Brand,0.02,%,0.0,0.0,100.0,0.0,1.028,0.000
BRAND_MAX_GROWTH,Brand,0.025,%,0.0,0.0,100.0,0.0,1.028,0.000
BRAND_MAX_GROWTH,Brand,0.03,%,0.0,0.0,100.0,0.0,1.028,0.000
BRAND_MAX_GROWTH,Brand,0.04,%,0.0,0.0,100.0,0.0,1.028,0.000
BRAND_MAX_GROWTH,Brand,0.05,%,0.0,0.0,100.0,0.0,1.028,0.000
BRAND_WEIGHT_BUDGET,Segment Weights,4,pts,0.0,0.0,100.0,0.0,1.028,0.000
BRAND_WEIGHT_BUDGET,Segment Weights,6,pts,0.0,0.0,100.0,0.0,1.028,0.000
BRAND_WEIGHT_BUDGET,Segment Weights,8,pts,0.0,0.0,100.0,0.0,1.028,0.000
BRAND_WEIGHT_BUDGET,Segment Weights,10,pts,0.0,0.0,100.0,0.0,1.028,0.000
BRAND_WEIGHT_BUDGET,Segment Weights,12,pts,0.0,0.0,100.0,0.0,1.028,0.000
BRAND_WEIGHT_BUDGET,Segment Weights,15,pts,0.0,0.0,100.0,0.0,1.028,0.000
BRAND_WEIGHT_BUDGET,Segment Weights,20,pts,0.0,0.0,100.0,0.0,1.028,0.000
